time_ms;speed_kmh;rpm;throttle;battery_temp;g_force_lat;g_force_long;g_force_vert;acceleration_x;acceleration_y;acceleration_z;gps_latitude;gps_longitude;gps_altitude;tire_temp_fl;tire_temp_fr;tire_temp_rl;tire_temp_rr
3168;16.8;3950;0.42;59.9;0.0;0.8;1.03;0.0;7.8;10.1;43.2509;5.795381;150.0;74.9;74.9;72.9;72.9
3271;17.6;4100;0.44;60.1;0.0;0.8;1.1;0.0;7.8;10.8;43.2509;5.795391;150.0;74.9;74.9;72.9;72.9
3374;18.4;4250;0.46;60.3;0.0;0.8;1.07;0.0;7.8;10.5;43.2509;5.795401;150.0;74.9;74.9;72.9;72.9
3477;19.2;4400;0.48;60.5;0.0;0.8;0.98;0.0;7.8;9.6;43.2509;5.795411;150.0;74.9;74.9;72.9;72.9
3578;20.0;4550;0.5;60.7;0.0;0.8;0.91;0.0;7.8;8.9;43.2509;5.795421;150.0;74.9;74.9;72.9;72.9
3681;20.8;4700;0.52;60.9;0.0;0.8;0.92;0.0;7.8;9.0;43.2509;5.795431;150.0;74.9;74.9;72.9;72.9
3782;21.6;4850;0.54;61.1;0.0;0.8;1.01;0.0;7.8;9.9;43.2509;5.795441;150.0;74.9;74.9;72.9;72.9
3885;22.4;5000;0.56;61.2;0.0;0.8;1.09;0.0;7.8;10.7;43.2509;5.795451;150.0;74.9;74.9;72.9;72.9
3987;23.2;5150;0.58;61.4;0.0;0.8;1.08;0.0;7.8;10.6;43.2509;5.795461;150.0;74.9;74.9;72.9;72.9
4090;24.0;5300;0.6;61.6;0.0;0.8;0.99;0.0;7.8;9.8;43.2509;5.795471;150.0;74.9;74.9;72.9;72.9
4193;24.8;5450;0.62;61.8;0.0;0.8;0.91;0.0;7.8;8.9;43.2509;5.795481;150.0;74.8;74.8;72.9;72.9
4294;25.6;5600;0.64;62.0;0.0;0.8;0.91;0.0;7.8;9.0;43.2509;5.795491;150.0;74.8;74.8;72.9;72.9
4397;26.4;5750;0.66;62.2;0.0;0.8;1.0;0.0;7.8;9.8;43.2509;5.795501;150.0;74.8;74.8;72.9;72.9
4498;27.2;5900;0.68;62.4;0.0;0.8;1.08;0.0;7.8;10.6;43.2509;5.795511;150.0;74.8;74.8;72.9;72.9
4601;28.0;6050;0.7;62.6;0.0;0.8;1.09;0.0;7.8;10.7;43.2509;5.795521;150.0;74.8;74.8;72.9;72.9
4704;28.8;6200;0.72;62.7;0.0;0.8;1.01;0.0;7.8;9.9;43.2509;5.795531;150.0;74.8;74.8;72.9;72.9
4806;29.6;6350;0.74;62.9;0.0;0.8;0.92;0.0;7.8;9.0;43.2509;5.795541;150.0;74.8;74.8;72.9;72.9
4908;30.4;6500;0.76;63.1;0.0;0.8;0.91;0.0;7.8;8.9;43.2509;5.795551;150.0;74.8;74.8;72.9;72.9
5010;31.2;6650;0.78;63.3;0.0;0.8;0.98;0.0;7.8;9.6;43.2509;5.795561;150.0;74.8;74.8;72.9;72.9
5111;32.0;6800;0.8;63.5;0.0;0.8;1.07;0.0;7.8;10.5;43.2509;5.795571;150.0;74.8;74.8;72.9;72.9
5215;32.8;6950;0.82;63.7;0.0;0.8;1.1;0.0;7.8;10.7;43.2509;5.795581;150.0;74.8;74.8;72.9;72.9
5317;33.6;7100;0.84;63.9;0.0;0.8;1.02;0.0;7.8;10.0;43.2509;5.795591;150.0;74.8;74.8;72.9;72.9
5421;34.4;7250;0.86;64.1;0.0;0.8;0.93;0.0;7.8;9.1;43.2509;5.795601;150.0;74.8;74.8;72.9;72.9
5523;35.2;7400;0.88;64.3;0.0;0.8;0.9;0.0;7.8;8.9;43.2509;5.795611;150.0;74.8;74.8;72.9;72.9
5624;36.0;7550;0.9;64.4;0.0;0.8;0.97;0.0;7.8;9.5;43.2509;5.795621;150.0;74.8;74.8;72.9;72.9
5727;36.8;7700;0.92;64.6;0.0;0.8;1.07;0.0;7.8;10.5;43.2509;5.795631;150.0;74.8;74.8;72.9;72.9
5829;37.6;7850;0.94;64.8;0.0;0.8;1.1;0.0;7.8;10.8;43.2509;5.795641;150.0;74.8;74.8;72.9;72.9
5933;38.4;8000;0.96;65.0;0.0;0.8;1.04;0.0;7.8;10.2;43.2509;5.795651;150.0;74.8;74.8;72.9;72.9
6035;39.2;8150;0.98;65.2;0.0;0.8;0.94;0.0;7.8;9.2;43.2509;5.795661;150.0;74.8;74.8;72.9;72.9
6137;40.0;8300;1.0;65.4;0.0;0.8;0.9;0.0;7.8;8.8;43.2509;5.795671;150.0;74.8;74.8;72.9;72.9
6239;40.8;8450;1.0;65.6;0.0;0.8;0.96;0.0;7.8;9.4;43.2509;5.795681;150.0;74.8;74.8;72.9;72.9
6341;41.6;8600;1.0;65.8;0.0;0.8;1.05;0.0;7.8;10.3;43.2509;5.795691;150.0;74.8;74.8;72.9;72.9
6444;42.4;8750;1.0;65.9;0.0;0.8;1.1;0.0;7.8;10.8;43.2509;5.795701;150.0;74.8;74.8;72.9;72.9
6547;43.2;8900;1.0;66.1;0.0;0.8;1.05;0.0;7.8;10.3;43.2509;5.795711;150.0;74.8;74.8;72.9;72.9
6649;44.0;9050;1.0;66.3;0.0;0.8;0.95;0.0;7.8;9.3;43.2509;5.795721;150.0;74.8;74.8;72.9;72.9
6752;44.8;9200;1.0;66.5;0.0;0.8;0.9;0.0;7.8;8.8;43.2509;5.795731;150.0;74.8;74.8;72.9;72.9
6854;45.6;9350;1.0;66.7;0.0;0.8;0.95;0.0;7.8;9.3;43.2509;5.795741;150.0;74.8;74.8;72.8;72.8
6956;46.4;9500;1.0;66.9;0.0;0.8;1.04;0.0;7.8;10.2;43.2509;5.795751;150.0;74.8;74.8;72.8;72.8
7059;47.2;9650;1.0;67.1;0.0;0.8;1.1;0.0;7.8;10.8;43.2509;5.795761;150.0;74.8;74.8;72.8;72.8
7161;48.0;9800;1.0;67.3;0.0;0.8;1.06;0.0;7.8;10.4;43.2509;5.795771;150.0;74.8;74.8;72.8;72.8
